id,match_id,metric,first_team_metric_values,second_team_metric_values
groupaqatarecuadortotal,groupaqatarecuador,Total,0,2
groupaqatarecuadorconceded,groupaqatarecuador,Conceded,2,0
groupaqatarecuadorinsidethepenaltyarea,groupaqatarecuador,Inside the Penalty Area,0,2
groupaqatarecuadoroutsidethepenaltyarea,groupaqatarecuador,Outside the Penalty Area,0,0
groupaqatarecuadorassists,groupaqatarecuador,Assists,0,1
groupaqatarecuadortotal,groupaqatarecuador,Total,5,6
groupaqatarecuadorontarget,groupaqatarecuador,On Target,0,3
groupaqatarecuadorofftarget,groupaqatarecuador,Off Target,5,3
groupaqatarecuadorinsidethepenaltyarea,groupaqatarecuador,Inside the Penalty Area,2,4
groupaqatarecuadoroutsidethepenaltyarea,groupaqatarecuador,Outside the Penalty Area,3,2
groupaqatarecuadorleftchannel,groupaqatarecuador,Left Channel,15,8
groupaqatarecuadorleftinsidechannel,groupaqatarecuador,Left Inside Channel,0,7
groupaqatarecuadorcentralchannel,groupaqatarecuador,Central Channel,3,6
groupaqatarecuadorrightinsidechannel,groupaqatarecuador,Right Inside Channel,1,4
groupaqatarecuadorrightchannel,groupaqatarecuador,Right Channel,9,6
groupaqatarecuadortotal,groupaqatarecuador,Total,520,532
groupaqatarecuadorinbehind,groupaqatarecuador,In Behind,116,127
groupaqatarecuadorinbetween,groupaqatarecuador,In Between,235,187
groupaqatarecuadorinfront,groupaqatarecuador,In Front,169,218
groupaqatarecuadorreceptionsbetweenmidfieldanddefensivelines,groupaqatarecuador,Receptions Between Midfield and Defensive Lines,52,58
groupaqatarecuadorreceptionsbehindthedefensiveline,groupaqatarecuador,Receptions Behind the Defensive Line,5,8
groupaqatarecuadorattemptedlinebreaks,groupaqatarecuador,Attempted Line Breaks,136,155
groupaqatarecuadorcompletedlinebreaks,groupaqatarecuador,Completed Line Breaks,86,99
groupaqatarecuadorattempteddefensivelinebreaks,groupaqatarecuador,Attempted Defensive Line Breaks,9,13
groupaqatarecuadorcompleteddefensivelinebreaks,groupaqatarecuador,Completed Defensive Line Breaks,4,7
groupaqatarecuadoryellowcards,groupaqatarecuador,Yellow Cards,4,2
groupaqatarecuadorredcards,groupaqatarecuador,Red Cards,0,0
groupaqatarecuadorfoulsagainst,groupaqatarecuador,Fouls Against,15,15
groupaqatarecuadoroffsides,groupaqatarecuador,Offsides,3,4
groupaqatarecuadorpasses,groupaqatarecuador,Passes,450,480
groupaqatarecuadorpassescompleted,groupaqatarecuador,Passes Completed,381,409
groupaqatarecuadorcrosses,groupaqatarecuador,Crosses,9,14
groupaqatarecuadorcrossescompleted,groupaqatarecuador,Crosses Completed,4,4
groupaqatarecuadorswitchesofplaycompleted,groupaqatarecuador,Switches of Play Completed,9,9
groupaqatarecuadorcorners,groupaqatarecuador,Corners,1,3
groupaqatarecuadorfreekicks,groupaqatarecuador,Free Kicks,19,17
groupaqatarecuadorpenaltiesscored,groupaqatarecuador,Penalties Scored,0,1
groupaqatarecuadorgoalpreventions,groupaqatarecuador,Goal Preventions,6,5
groupaqatarecuadorowngoals,groupaqatarecuador,Own Goals,0,0
groupaqatarecuadorforcedturnovers,groupaqatarecuador,Forced Turnovers,52,72
groupaqatarecuadordefensivepressuresapplied,groupaqatarecuador,Defensive Pressures Applied,256,279
groupbenglandirantotal,groupbenglandiran,Total,6,2
groupbenglandiranconceded,groupbenglandiran,Conceded,2,6
groupbenglandiraninsidethepenaltyarea,groupbenglandiran,Inside the Penalty Area,6,2
groupbenglandiranoutsidethepenaltyarea,groupbenglandiran,Outside the Penalty Area,0,0
groupbenglandiranassists,groupbenglandiran,Assists,6,1
groupbenglandirantotal,groupbenglandiran,Total,13,8
groupbenglandiranontarget,groupbenglandiran,On Target,7,3
groupbenglandiranofftarget,groupbenglandiran,Off Target,3,4
groupbenglandiraninsidethepenaltyarea,groupbenglandiran,Inside the Penalty Area,10,6
groupbenglandiranoutsidethepenaltyarea,groupbenglandiran,Outside the Penalty Area,3,2
groupbenglandiranleftchannel,groupbenglandiran,Left Channel,11,3
groupbenglandiranleftinsidechannel,groupbenglandiran,Left Inside Channel,5,0
groupbenglandirancentralchannel,groupbenglandiran,Central Channel,2,3
groupbenglandiranrightinsidechannel,groupbenglandiran,Right Inside Channel,3,1
groupbenglandiranrightchannel,groupbenglandiran,Right Channel,11,0
groupbenglandirantotal,groupbenglandiran,Total,1061,212
groupbenglandiraninbehind,groupbenglandiran,In Behind,207,53
groupbenglandiraninbetween,groupbenglandiran,In Between,386,86
groupbenglandiraninfront,groupbenglandiran,In Front,468,73
groupbenglandiranreceptionsbetweenmidfieldanddefensivelines,groupbenglandiran,Receptions Between Midfield and Defensive Lines,120,57
groupbenglandiranreceptionsbehindthedefensiveline,groupbenglandiran,Receptions Behind the Defensive Line,16,4
groupbenglandiranattemptedlinebreaks,groupbenglandiran,Attempted Line Breaks,238,101
groupbenglandirancompletedlinebreaks,groupbenglandiran,Completed Line Breaks,178,45
groupbenglandiranattempteddefensivelinebreaks,groupbenglandiran,Attempted Defensive Line Breaks,25,7
groupbenglandirancompleteddefensivelinebreaks,groupbenglandiran,Completed Defensive Line Breaks,16,4
groupbenglandiranyellowcards,groupbenglandiran,Yellow Cards,0,2
groupbenglandiranredcards,groupbenglandiran,Red Cards,0,0
groupbenglandiranfoulsagainst,groupbenglandiran,Fouls Against,9,14
groupbenglandiranoffsides,groupbenglandiran,Offsides,2,2
groupbenglandiranpasses,groupbenglandiran,Passes,809,224
groupbenglandiranpassescompleted,groupbenglandiran,Passes Completed,730,154
groupbenglandirancrosses,groupbenglandiran,Crosses,23,8
groupbenglandirancrossescompleted,groupbenglandiran,Crosses Completed,7,1
groupbenglandiranswitchesofplaycompleted,groupbenglandiran,Switches of Play Completed,12,3
groupbenglandirancorners,groupbenglandiran,Corners,8,0
groupbenglandiranfreekicks,groupbenglandiran,Free Kicks,16,10
groupbenglandiranpenaltiesscored,groupbenglandiran,Penalties Scored,0,1
groupbenglandirangoalpreventions,groupbenglandiran,Goal Preventions,8,13
groupbenglandiranowngoals,groupbenglandiran,Own Goals,0,0
groupbenglandiranforcedturnovers,groupbenglandiran,Forced Turnovers,63,72
groupbenglandirandefensivepressuresapplied,groupbenglandiran,Defensive Pressures Applied,139,416
groupasenegalnetherlandstotal,groupasenegalnetherlands,Total,0,2
groupasenegalnetherlandsconceded,groupasenegalnetherlands,Conceded,2,0
groupasenegalnetherlandsinsidethepenaltyarea,groupasenegalnetherlands,Inside the Penalty Area,0,2
groupasenegalnetherlandsoutsidethepenaltyarea,groupasenegalnetherlands,Outside the Penalty Area,0,0
groupasenegalnetherlandsassists,groupasenegalnetherlands,Assists,0,1
groupasenegalnetherlandstotal,groupasenegalnetherlands,Total,14,9
groupasenegalnetherlandsontarget,groupasenegalnetherlands,On Target,3,3
groupasenegalnetherlandsofftarget,groupasenegalnetherlands,Off Target,8,5
groupasenegalnetherlandsinsidethepenaltyarea,groupasenegalnetherlands,Inside the Penalty Area,7,5
groupasenegalnetherlandsoutsidethepenaltyarea,groupasenegalnetherlands,Outside the Penalty Area,7,4
groupasenegalnetherlandsleftchannel,groupasenegalnetherlands,Left Channel,12,11
groupasenegalnetherlandsleftinsidechannel,groupasenegalnetherlands,Left Inside Channel,4,2
groupasenegalnetherlandscentralchannel,groupasenegalnetherlands,Central Channel,2,2
groupasenegalnetherlandsrightinsidechannel,groupasenegalnetherlands,Right Inside Channel,4,7
groupasenegalnetherlandsrightchannel,groupasenegalnetherlands,Right Channel,13,20
groupasenegalnetherlandstotal,groupasenegalnetherlands,Total,502,506
groupasenegalnetherlandsinbehind,groupasenegalnetherlands,In Behind,123,117
groupasenegalnetherlandsinbetween,groupasenegalnetherlands,In Between,230,191
groupasenegalnetherlandsinfront,groupasenegalnetherlands,In Front,149,198
groupasenegalnetherlandsreceptionsbetweenmidfieldanddefensivelines,groupasenegalnetherlands,Receptions Between Midfield and Defensive Lines,107,87
groupasenegalnetherlandsreceptionsbehindthedefensiveline,groupasenegalnetherlands,Receptions Behind the Defensive Line,15,14
groupasenegalnetherlandsattemptedlinebreaks,groupasenegalnetherlands,Attempted Line Breaks,151,162
groupasenegalnetherlandscompletedlinebreaks,groupasenegalnetherlands,Completed Line Breaks,89,96
groupasenegalnetherlandsattempteddefensivelinebreaks,groupasenegalnetherlands,Attempted Defensive Line Breaks,22,22
groupasenegalnetherlandscompleteddefensivelinebreaks,groupasenegalnetherlands,Completed Defensive Line Breaks,15,10
groupasenegalnetherlandsyellowcards,groupasenegalnetherlands,Yellow Cards,2,1
groupasenegalnetherlandsredcards,groupasenegalnetherlands,Red Cards,0,0
groupasenegalnetherlandsfoulsagainst,groupasenegalnetherlands,Fouls Against,13,13
groupasenegalnetherlandsoffsides,groupasenegalnetherlands,Offsides,2,1
groupasenegalnetherlandspasses,groupasenegalnetherlands,Passes,383,438
groupasenegalnetherlandspassescompleted,groupasenegalnetherlands,Passes Completed,313,374
groupasenegalnetherlandscrosses,groupasenegalnetherlands,Crosses,19,25
groupasenegalnetherlandscrossescompleted,groupasenegalnetherlands,Crosses Completed,7,8
groupasenegalnetherlandsswitchesofplaycompleted,groupasenegalnetherlands,Switches of Play Completed,9,6
groupasenegalnetherlandscorners,groupasenegalnetherlands,Corners,6,7
groupasenegalnetherlandsfreekicks,groupasenegalnetherlands,Free Kicks,14,14
groupasenegalnetherlandspenaltiesscored,groupasenegalnetherlands,Penalties Scored,0,0
groupasenegalnetherlandsgoalpreventions,groupasenegalnetherlands,Goal Preventions,9,15
groupasenegalnetherlandsowngoals,groupasenegalnetherlands,Own Goals,0,0
groupasenegalnetherlandsforcedturnovers,groupasenegalnetherlands,Forced Turnovers,63,73
groupasenegalnetherlandsdefensivepressuresapplied,groupasenegalnetherlands,Defensive Pressures Applied,263,251
groupbunitedstateswalestotal,groupbunitedstateswales,Total,1,1
groupbunitedstateswalesconceded,groupbunitedstateswales,Conceded,1,1
groupbunitedstateswalesinsidethepenaltyarea,groupbunitedstateswales,Inside the Penalty Area,1,1
groupbunitedstateswalesoutsidethepenaltyarea,groupbunitedstateswales,Outside the Penalty Area,0,0
groupbunitedstateswalesassists,groupbunitedstateswales,Assists,1,0
groupbunitedstateswalestotal,groupbunitedstateswales,Total,6,7
groupbunitedstateswalesontarget,groupbunitedstateswales,On Target,1,3
groupbunitedstateswalesofftarget,groupbunitedstateswales,Off Target,4,3
groupbunitedstateswalesinsidethepenaltyarea,groupbunitedstateswales,Inside the Penalty Area,4,5
groupbunitedstateswalesoutsidethepenaltyarea,groupbunitedstateswales,Outside the Penalty Area,2,2
groupbunitedstateswalesleftchannel,groupbunitedstateswales,Left Channel,14,7
groupbunitedstateswalesleftinsidechannel,groupbunitedstateswales,Left Inside Channel,5,2
groupbunitedstateswalescentralchannel,groupbunitedstateswales,Central Channel,4,5
groupbunitedstateswalesrightinsidechannel,groupbunitedstateswales,Right Inside Channel,4,2
groupbunitedstateswalesrightchannel,groupbunitedstateswales,Right Channel,11,7
groupbunitedstateswalestotal,groupbunitedstateswales,Total,725,436
groupbunitedstateswalesinbehind,groupbunitedstateswales,In Behind,149,100
groupbunitedstateswalesinbetween,groupbunitedstateswales,In Between,336,172
groupbunitedstateswalesinfront,groupbunitedstateswales,In Front,240,164
groupbunitedstateswalesreceptionsbetweenmidfieldanddefensivelines,groupbunitedstateswales,Receptions Between Midfield and Defensive Lines,101,73
groupbunitedstateswalesreceptionsbehindthedefensiveline,groupbunitedstateswales,Receptions Behind the Defensive Line,12,9
groupbunitedstateswalesattemptedlinebreaks,groupbunitedstateswales,Attempted Line Breaks,199,174
groupbunitedstateswalescompletedlinebreaks,groupbunitedstateswales,Completed Line Breaks,146,103
groupbunitedstateswalesattempteddefensivelinebreaks,groupbunitedstateswales,Attempted Defensive Line Breaks,23,17
groupbunitedstateswalescompleteddefensivelinebreaks,groupbunitedstateswales,Completed Defensive Line Breaks,15,8
groupbunitedstateswalesyellowcards,groupbunitedstateswales,Yellow Cards,4,2
groupbunitedstateswalesredcards,groupbunitedstateswales,Red Cards,0,0
groupbunitedstateswalesfoulsagainst,groupbunitedstateswales,Fouls Against,15,10
groupbunitedstateswalesoffsides,groupbunitedstateswales,Offsides,1,1
groupbunitedstateswalespasses,groupbunitedstateswales,Passes,569,409
groupbunitedstateswalespassescompleted,groupbunitedstateswales,Passes Completed,509,321
groupbunitedstateswalescrosses,groupbunitedstateswales,Crosses,31,15
groupbunitedstateswalescrossescompleted,groupbunitedstateswales,Crosses Completed,4,6
groupbunitedstateswalesswitchesofplaycompleted,groupbunitedstateswales,Switches of Play Completed,5,8
groupbunitedstateswalescorners,groupbunitedstateswales,Corners,5,3
groupbunitedstateswalesfreekicks,groupbunitedstateswales,Free Kicks,11,15
groupbunitedstateswalespenaltiesscored,groupbunitedstateswales,Penalties Scored,0,1
groupbunitedstateswalesgoalpreventions,groupbunitedstateswales,Goal Preventions,7,7
groupbunitedstateswalesowngoals,groupbunitedstateswales,Own Goals,0,0
groupbunitedstateswalesforcedturnovers,groupbunitedstateswales,Forced Turnovers,81,72
groupbunitedstateswalesdefensivepressuresapplied,groupbunitedstateswales,Defensive Pressures Applied,242,292
groupcargentinasaudiarabiatotal,groupcargentinasaudiarabia,Total,1,2
groupcargentinasaudiarabiaconceded,groupcargentinasaudiarabia,Conceded,2,1
groupcargentinasaudiarabiainsidethepenaltyarea,groupcargentinasaudiarabia,Inside the Penalty Area,1,2
groupcargentinasaudiarabiaoutsidethepenaltyarea,groupcargentinasaudiarabia,Outside the Penalty Area,0,0
groupcargentinasaudiarabiaassists,groupcargentinasaudiarabia,Assists,0,1
groupcargentinasaudiarabiatotal,groupcargentinasaudiarabia,Total,14,3
groupcargentinasaudiarabiaontarget,groupcargentinasaudiarabia,On Target,6,2
groupcargentinasaudiarabiaofftarget,groupcargentinasaudiarabia,Off Target,5,0
groupcargentinasaudiarabiainsidethepenaltyarea,groupcargentinasaudiarabia,Inside the Penalty Area,10,3
groupcargentinasaudiarabiaoutsidethepenaltyarea,groupcargentinasaudiarabia,Outside the Penalty Area,4,0
groupcargentinasaudiarabialeftchannel,groupcargentinasaudiarabia,Left Channel,12,3
groupcargentinasaudiarabialeftinsidechannel,groupcargentinasaudiarabia,Left Inside Channel,4,2
groupcargentinasaudiarabiacentralchannel,groupcargentinasaudiarabia,Central Channel,5,3
groupcargentinasaudiarabiarightinsidechannel,groupcargentinasaudiarabia,Right Inside Channel,8,3
groupcargentinasaudiarabiarightchannel,groupcargentinasaudiarabia,Right Channel,18,8
groupcargentinasaudiarabiatotal,groupcargentinasaudiarabia,Total,650,268
groupcargentinasaudiarabiainbehind,groupcargentinasaudiarabia,In Behind,157,69
groupcargentinasaudiarabiainbetween,groupcargentinasaudiarabia,In Between,177,131
groupcargentinasaudiarabiainfront,groupcargentinasaudiarabia,In Front,316,68
groupcargentinasaudiarabiareceptionsbetweenmidfieldanddefensivelines,groupcargentinasaudiarabia,Receptions Between Midfield and Defensive Lines,105,78
groupcargentinasaudiarabiareceptionsbehindthedefensiveline,groupcargentinasaudiarabia,Receptions Behind the Defensive Line,26,9
groupcargentinasaudiarabiaattemptedlinebreaks,groupcargentinasaudiarabia,Attempted Line Breaks,191,137
groupcargentinasaudiarabiacompletedlinebreaks,groupcargentinasaudiarabia,Completed Line Breaks,127,68
groupcargentinasaudiarabiaattempteddefensivelinebreaks,groupcargentinasaudiarabia,Attempted Defensive Line Breaks,39,15
groupcargentinasaudiarabiacompleteddefensivelinebreaks,groupcargentinasaudiarabia,Completed Defensive Line Breaks,25,7
groupcargentinasaudiarabiayellowcards,groupcargentinasaudiarabia,Yellow Cards,0,6
groupcargentinasaudiarabiaredcards,groupcargentinasaudiarabia,Red Cards,0,0
groupcargentinasaudiarabiafoulsagainst,groupcargentinasaudiarabia,Fouls Against,7,21
groupcargentinasaudiarabiaoffsides,groupcargentinasaudiarabia,Offsides,10,1
groupcargentinasaudiarabiapasses,groupcargentinasaudiarabia,Passes,610,267
groupcargentinasaudiarabiapassescompleted,groupcargentinasaudiarabia,Passes Completed,529,190
groupcargentinasaudiarabiacrosses,groupcargentinasaudiarabia,Crosses,29,9
groupcargentinasaudiarabiacrossescompleted,groupcargentinasaudiarabia,Crosses Completed,12,2
groupcargentinasaudiarabiaswitchesofplaycompleted,groupcargentinasaudiarabia,Switches of Play Completed,5,7
groupcargentinasaudiarabiacorners,groupcargentinasaudiarabia,Corners,9,2
groupcargentinasaudiarabiafreekicks,groupcargentinasaudiarabia,Free Kicks,22,16
groupcargentinasaudiarabiapenaltiesscored,groupcargentinasaudiarabia,Penalties Scored,1,0
groupcargentinasaudiarabiagoalpreventions,groupcargentinasaudiarabia,Goal Preventions,4,14
groupcargentinasaudiarabiaowngoals,groupcargentinasaudiarabia,Own Goals,0,0
groupcargentinasaudiarabiaforcedturnovers,groupcargentinasaudiarabia,Forced Turnovers,65,80
groupcargentinasaudiarabiadefensivepressuresapplied,groupcargentinasaudiarabia,Defensive Pressures Applied,163,361
